time,KPN Trade Volume,10day MA,1 Week momentum,GTO Close,ATC Close,output
547,9100410,3.6154,-0.013,63.18,2.34395,3.645
548,12397334,3.6285,0.007,63.959999,2.36619,3.687
549,9508352,3.6397,0.028,65.449997,2.36767,3.683
550,10329632,3.6494,0.044,64.970001,2.32171,3.638
551,10863413,3.6494,-0.013,63.650002,2.27501,3.66
552,10665333,3.6495,-0.004,63.459999,2.00741,3.545
553,12694877,3.6401,-0.11,60.130001,2.0252,3.603
554,7919283,3.6353,0.03,61.32,2.01259,3.566
555,7612591,3.6255,-0.079,60.490002,2.04595,3.465
556,18536658,3.6065,-0.222,60.470001,2.07041,3.482
557,11783651,3.5974,-0.201,58.650002,2.10377,3.525
558,11184823,3.5854,-0.113,58.48,2.08079,3.448
559,21902672,3.5615,-0.212,60.189999,2.08302,3.45
560,13107882,3.5382,-0.095,58.91,2.12156,3.485
561,15110206,3.5229,-0.118,57.669998,2.12008,3.54
562,12302820,3.5109,-0.026,57.759998,2.11563,3.563
563,10193442,3.5127,0.098,59,2.11341,3.537
564,10495973,3.5061,0.055,58.150002,2.11267,3.452
565,13885291,3.4947,-0.073,58.240002,2.06004,3.433
566,8326907,3.4915,-0.015,58.009998,2.01778,3.388
567,12805297,3.4821,-0.062,58.5,2.01482,3.38
568,10679175,3.4676,-0.105,58.200001,2.03409,3.399
569,6973838,3.4627,-0.141,58.860001,2.01778,3.35
570,10550656,3.4527,-0.213,59.880001,1.99406,3.435
571,20685644,3.4477,-0.102,56.799999,1.96441,3.414
572,7630638,3.4351,-0.038,57.169998,1.96219,3.45
573,13050078,3.4238,0.017,55.91,1.94884,3.393
574,11587141,3.4094,0.005,55.439999,1.91771,3.408
575,8313335,3.405,0.028,55.529999,1.9481,3.36
576,12233857,3.3977,-0.039,55.509998,1.92735,3.409
577,7968380,3.3998,0.059,56.150002,1.91993,3.464
578,8835912,3.4082,0.029,57.23,1.96738,3.473
579,7359154,3.4156,0.059,57.240002,2.03632,3.47
580,6584567,3.4276,0.02,53.049999,2.08153,3.5
581,9124509,3.4341,0.107,55.139999,2.07931,3.483
582,6915875,3.441,0.075,54.299999,2.11341,3.483
583,8975869,3.4443,0.123,54.240002,2.1312,3.485
584,7405362,3.4535,0.076,53.830002,2.1401,3.458
585,8982251,3.4585,-0.006,53.34,2.09784,3.508
586,7532074,3.4733,0.035,54.119999,2.17938,3.472
587,9947356,3.4796,0.002,54.07,2.21052,3.481
588,9157563,3.4813,-0.019,54.66,2.21422,3.496
589,8821683,3.4836,0.013,55.5,2.23127,3.571
590,9370116,3.4937,0.088,55.919998,2.28316,3.602
591,8732652,3.5039,0.117,55.900002,2.27946,3.569
592,4854306,3.5125,0.111,55.509998,2.29651,3.567
593,22490562,3.5209,0.059,54.93,2.29651,3.569
594,7997306,3.5293,0.097,54.919998,2.27575,3.56
595,5513903,3.5395,0.079,56.27,2.31356,3.58
596,8400368,3.5467,0.084,55.299999,2.26611,3.579
597,4541008,3.5574,0.008,55.580002,2.26834,3.566
598,7801783,3.5659,-0.036,55.32,2.28539,3.556
599,6730682,3.5719,-0.013,54.549999,2.26537,3.466
600,8103721,3.5614,-0.101,54.41,2.26093,3.372
601,12944000,3.5384,-0.197,52.93,2.19124,3.331
602,10270198,3.5146,-0.229,52.299999,2.14084,3.264
603,12967345,3.4843,-0.316,51.689999,2.06523,3.258
604,12253427,3.4532,-0.321,51.93,2.06226,3.257
605,9254801,3.4229,-0.309,52.509998,2.02075,3.253
606,14671668,3.3902,-0.303,52.560001,1.96145,3.347
607,10731921,3.367,-0.119,53.099998,2.0756,3.271
608,15482794,3.3375,-0.101,53.16,2.08672,3.29
609,10260434,3.3109,-0.041,52.869999,2.12601,3.376
610,17228671,3.3019,0.112,53.68,2.21571,3.016
611,37816485,3.2663,-0.242,52.540001,2.06819,2.961
612,24262694,3.2293,-0.296,49.779999,1.94884,3.056
613,13555569,3.2085,-0.197,51.459999,1.94217,3.198
614,16126158,3.2025,-0.149,54.43,2.0163,3.255
615,16917633,3.2023,-0.016,54.790001,1.99851,3.211
616,12417357,3.1981,-0.079,55.869999,2.01556,3.204
617,8533361,3.1838,-0.172,55.23,2.00815,3.155
618,9613707,3.1722,0.139,54.150002,1.9696,3.076
619,11673717,3.1508,0.115,53.02,1.89028,3.106
620,9938766,3.1238,0.05,53.759998,1.87546,3.112
621,7931455,3.1334,-0.086,54.560001,1.88954,3.169
622,8521695,3.1542,-0.086,55.619999,1.92735,3.201
623,7660782,3.1687,-0.01,56.110001,1.99629,3.173
624,10801719,3.1662,-0.031,56.240002,1.98739,3.2
625,8282008,3.1607,0.045,57.189999,1.94588,3.191
626,11268208,3.1587,0.115,56.610001,1.93328,3.175
627,6792192,3.1558,0.069,57.150002,1.90288,3.16
628,6246875,3.1563,0.048,56.560001,1.92512,3.118
629,9268429,3.1605,-0.051,58.150002,1.92735,3.06
630,18437779,3.1559,-0.141,58.009998,1.9266,3.15
631,11721986,3.1597,-0.023,58.700001,1.94143,3.098
632,10885537,3.1526,-0.102,59.110001,2.00592,3.076
633,8574895,3.1401,-0.115,58.84,1.96367,2.942
634,26463981,3.117,-0.233,58.279999,1.97627,2.898
635,21956227,3.0868,-0.262,58.369999,1.95922,2.943
636,15854198,3.062,-0.175,58.970001,1.96812,2.989
637,14477898,3.0434,-0.071,58,2.00147,2.95
638,13817487,3.0224,-0.2,55.669998,1.93921,2.956
639,10399765,3.0062,-0.142,55.029999,1.91252,2.938
640,16605668,2.994,-0.138,55.66,1.90511,2.971
641,11122844,2.9761,0.029,53.990002,1.94884,2.973
642,7332829,2.9636,0.075,54.299999,1.93476,3.022
643,9635342,2.9582,0.079,54.400002,2.22386,3.02
644,6602470,2.966,0.031,54.32,2.22757,3.064
645,6085901,2.9826,0.114,54.84,2.1653,3.059
646,6498903,2.9942,0.103,54.830002,2.14973,3.048
647,5906363,3.0001,0.11,55.509998,2.13046,3.058
648,11215519,3.0109,0.087,55.490002,2.09488,2.98
649,9418494,3.0133,0.007,54.599998,2.06374,2.992
650,8579044,3.0187,-0.03,56.529999,2.07338,2.964
651,6481466,3.018,-0.056,56.700001,2.04595,2.972
652,7414348,3.0179,-0.092,58.470001,2.03335,2.981
653,6419195,3.0138,-0.078,59.119999,2.10155,2.949
654,7130428,3.0067,-0.099,59.389999,2.09636,2.94
655,6447397,2.9943,-0.118,58.209999,2.0504,2.933
656,6502233,2.9817,-0.047,62,2.07709,2.913
657,5111605,2.9682,-0.079,61.310001,2.07486,2.907
658,9400531,2.9531,-0.057,62.630001,2.11267,2.927
659,12823991,2.9478,-0.045,62.450001,2.21274,2.88
660,12805401,2.9366,-0.101,63.009998,2.24017,2.897
661,17643137,2.9299,-0.052,63.48,2.29058,2.907
662,15611796,2.9234,-0.033,63.360001,2.28984,2.91
663,9488689,2.9163,-0.023,63.119999,2.26834,2.925
664,8008528,2.9139,0.012,63.400002,2.30985,2.937
665,8539466,2.9136,0.03,63.98,2.32097,2.859
666,10521231,2.9062,-0.068,63.669998,2.33505,2.839
667,9360723,2.8988,-0.041,63.18,2.29502,2.791
668,8593514,2.8872,-0.106,63.029999,2.27797,2.773
669,11386131,2.8718,-0.134,63.09,2.22238,2.79
670,11145577,2.8628,-0.12,63.869999,2.22534,2.8
671,14957976,2.8531,-0.125,62.669998,2.22979,2.823
672,9445058,2.8447,-0.114,63.5,2.27279,2.861
673,9502971,2.8398,0.002,63.07,2.35655,2.919
674,13595547,2.8392,0.08,63.810001,2.44625,2.996
675,16204315,2.8451,0.205,63.099998,2.44995,3.005
676,10099621,2.8597,0.232,62.59,2.43142,2.972
677,11409396,2.873,0.182,62.169998,2.43142,2.993
