output,price,profit:,buy_and_hold,long and short,landsprof
0,3.582,0.405,0.255,0.032,0.587
1,3.55,-3.145,0.223,-0.083,0.504
1,3.467,-3.145,0.14,-0.028,0.476
1,3.439,-3.145,0.112,0.02,0.496
0,3.459,0.314,0.132,0.063,0.559
1,3.396,-3.082,0.069,0.02,0.579
0,3.416,0.334,0.089,0.036,0.615
1,3.38,-3.046,0.053,-0.01,0.605
1,3.37,-3.046,0.043,-0.053,0.552
1,3.317,-3.046,-0.01,0.113,0.665
0,3.43,0.384,0.103,-0.011,0.654
0,3.441,0.384,0.114,-0.038,0.616
0,3.479,0.384,0.152,0.096,0.712
1,3.383,-2.999,0.056,-0.073,0.639
1,3.31,-2.999,-0.017,-0.013,0.626
1,3.297,-2.999,-0.03,0.108,0.734
0,3.405,0.406,0.078,-0.023,0.711
0,3.428,0.406,0.101,-0.027,0.684
0,3.455,0.406,0.128,-0.054,0.63
0,3.509,0.406,0.182,0.002,0.632
0,3.507,0.406,0.18,0.088,0.72
1,3.419,-3.013,0.092,0.02,0.74
1,3.439,-3.013,0.112,0.006,0.746
0,3.445,0.432,0.118,0.036,0.782
0,3.409,0.432,0.082,0.069,0.851
1,3.34,-2.908,0.013,-0.007,0.844
1,3.333,-2.908,0.006,0.114,0.958
0,3.447,0.539,0.12,0.052,1.01
0,3.395,0.539,0.068,0.092,1.102
1,3.303,-2.764,-0.024,-0.029,1.073
1,3.274,-2.764,-0.053,-0.056,1.017
1,3.218,-2.764,-0.109,0.033,1.05
0,3.251,0.487,-0.076,0.066,1.116
1,3.185,-2.698,-0.142,0.05,1.166
0,3.235,0.537,-0.092,-0.143,1.023
0,3.378,0.537,0.051,-0.012,1.011
0,3.39,0.537,0.063,-0.07,0.941
0,3.46,0.537,0.133,-0.033,0.908
0,3.493,0.537,0.166,0.045,0.953
0,3.448,0.537,0.121,-0.111,0.842
0,3.559,0.537,0.232,0.046,0.888
0,3.513,0.537,0.186,0.067,0.955
1,3.446,-2.909,0.119,-0.042,0.913
1,3.404,-2.909,0.077,0.049,0.962
1,3.453,-2.909,0.126,-0.006,0.956
0,3.447,0.538,0.12,0.112,1.068
1,3.335,-2.797,0.008,-0.06,1.008
1,3.275,-2.797,-0.052,0.01,1.018
1,3.285,-2.797,-0.042,-0.024,0.994
1,3.261,-2.797,-0.066,0.006,1
0,3.267,0.47,-0.06,-0.06,0.94
0,3.327,0.47,0,-0.015,0.925
0,3.342,0.47,0.015,-0.049,0.876
0,3.391,0.47,0.064,-0.027,0.849
0,3.418,0.47,0.091,0.025,0.874
0,3.393,0.47,0.066,-0.071,0.803
0,3.464,0.47,0.137,0.035,0.838
0,3.429,0.47,0.102,0.108,0.946
1,3.321,-2.851,-0.006,0.064,1.01
1,3.385,-2.851,0.058,-0.055,0.955
1,3.33,-2.851,0.003,0.079,1.034
0,3.409,0.558,0.082,-0.119,0.915
0,3.528,0.558,0.201,0.067,0.982
0,3.461,0.558,0.134,0.048,1.03
1,3.413,-2.855,0.086,0.011,1.041
1,3.424,-2.855,0.097,0.022,1.063
0,3.446,0.591,0.119,0.051,1.114
1,3.395,-2.804,0.068,0.028,1.142
0,3.423,0.619,0.096,-0.004,1.138
0,3.427,0.619,0.1,-0.087,1.051
0,3.514,0.619,0.187,-0.061,0.99
0,3.575,0.619,0.248,-0.011,0.979
0,3.586,0.619,0.259,-0.052,0.927
0,3.638,0.619,0.311,-0.021,0.906
0,3.659,0.619,0.332,0.02,0.926
0,3.639,0.619,0.312,-0.012,0.914
0,3.651,0.619,0.324,-0.013,0.901
0,3.664,0.619,0.337,0.009,0.91
1,3.655,-3.036,0.328,-0.082,0.828
1,3.573,-3.036,0.246,0.072,0.9
0,3.645,0.609,0.318,-0.042,0.858
0,3.687,0.609,0.36,0.004,0.862
0,3.683,0.609,0.356,0.045,0.907
1,3.638,-3.029,0.311,0.022,0.929
0,3.66,0.631,0.333,0.115,1.044
1,3.545,-2.914,0.218,0.058,1.102
0,3.603,0.689,0.276,0.037,1.139
0,3.566,0.689,0.239,0.101,1.24
1,3.465,-2.776,0.138,0.017,1.257
1,3.482,-2.776,0.155,0.043,1.3
0,3.525,0.749,0.198,0.077,1.377
1,3.448,-2.699,0.121,0.002,1.379
1,3.45,-2.699,0.123,0.035,1.414
0,3.485,0.786,0.158,-0.055,1.359
0,3.54,0.786,0.213,-0.023,1.336
0,3.563,0.786,0.236,0.026,1.362
0,3.537,0.786,0.21,0.085,1.447
1,3.452,-2.666,0.125,-0.019,1.428
1,3.433,-2.666,0.106,-0.045,1.383
1,3.388,-2.666,0.061,-0.008,1.375
1,3.38,-2.666,0.053,0.019,1.394
0,3.399,0.733,0.072,0.049,1.443
1,3.35,-2.617,0.023,0.085,1.528
0,3.435,0.818,0.108,0.021,1.549
0,3.414,0.818,0.087,-0.036,1.513
0,3.45,0.818,0.123,0.057,1.57
1,3.393,-2.575,0.066,0.015,1.585
0,3.408,0.833,0.081,0.048,1.633
1,3.36,-2.527,0.033,0.049,1.682
0,3.409,0.882,0.082,-0.055,1.627
0,3.464,0.882,0.137,-0.009,1.618
0,3.473,0.882,0.146,0.003,1.621
0,3.47,0.882,0.143,-0.03,1.591
0,3.5,0.882,0.173,0.017,1.608
0,3.483,0.882,0.156,0,1.608
0,3.483,0.882,0.156,-0.002,1.606
0,3.485,0.882,0.158,0.027,1.633
0,3.458,0.882,0.131,-0.05,1.583
0,3.508,0.882,0.181,0.036,1.619
0,3.472,0.882,0.145,-0.009,1.61
0,3.481,0.882,0.154,-0.015,1.595
0,3.496,0.882,0.169,-0.075,1.52
0,3.571,0.882,0.244,-0.031,1.489
0,3.602,0.882,0.275,0.033,1.522
0,3.569,0.882,0.242,0.002,1.524
1,3.567,-2.685,0.24,0.002,1.526
0,3.569,0.884,0.242,0.009,1.535
0,3.56,0.884,0.233,-0.02,1.515
0,3.58,0.884,0.253,0.001,1.516
0,3.579,0.884,0.252,0.013,1.529
0,3.566,0.884,0.239,0.01,1.539
0,3.556,0.884,0.229,0.09,1.629
1,3.466,-2.582,0.139,-0.094,1.535
1,3.372,-2.582,0.045,-0.041,1.494
1,3.331,-2.582,0.004,-0.067,1.427
1,3.264,-2.582,-0.063,-0.006,1.421
1,3.258,-2.582,-0.069,-0.001,1.42
0,3.257,0.675,-0.07,0.004,1.424
0,3.253,0.675,-0.074,-0.094,1.33
0,3.347,0.675,0.02,0.076,1.406
0,3.271,0.675,-0.056,-0.019,1.387
0,3.29,0.675,-0.037,-0.086,1.301
0,3.376,0.675,0.049,0.36,1.661
1,3.016,-2.341,-0.311,-0.055,1.606
1,2.961,-2.341,-0.366,0.095,1.701
1,3.056,-2.341,-0.271,0.142,1.843
1,3.198,-2.341,-0.129,0.057,1.9
0,3.255,0.914,-0.072,0.044,1.944
0,3.211,0.914,-0.116,0.007,1.951
0,3.204,0.914,-0.123,0.049,2
1,3.155,-2.241,-0.172,-0.079,1.921
1,3.076,-2.241,-0.251,0.03,1.951
0,3.106,0.865,-0.221,-0.006,1.945
0,3.112,0.865,-0.215,-0.057,1.888
0,3.169,0.865,-0.158,-0.032,1.856
0,3.201,0.865,-0.126,0.028,1.884
0,3.173,0.865,-0.154,-0.027,1.857
0,3.2,0.865,-0.127,0.009,1.866
0,3.191,0.865,-0.136,0.016,1.882
0,3.175,0.865,-0.152,0.015,1.897
0,3.16,0.865,-0.167,0.042,1.939
1,3.118,-2.253,-0.209,-0.058,1.881
1,3.06,-2.253,-0.267,0.09,1.971
0,3.15,0.897,-0.177,0.052,2.023
0,3.098,0.897,-0.229,0.022,2.045
1,3.076,-2.179,-0.251,-0.134,1.911
1,2.942,-2.179,-0.385,-0.044,1.867
1,2.898,-2.179,-0.429,0.045,1.912
0,2.943,0.764,-0.384,-0.046,1.866
0,2.989,0.764,-0.338,0.039,1.905
0,2.95,0.764,-0.377,-0.006,1.899
0,2.956,0.764,-0.371,0.018,1.917
0,2.938,0.764,-0.389,-0.033,1.884
0,2.971,0.764,-0.356,-0.002,1.882
0,2.973,0.764,-0.354,-0.049,1.833
0,3.022,0.764,-0.305,0.002,1.835
0,3.02,0.764,-0.307,-0.044,1.791
0,3.064,0.764,-0.263,0.005,1.796
0,3.059,0.764,-0.268,0.011,1.807
0,3.048,0.764,-0.279,-0.01,1.797
0,3.058,0.764,-0.269,0.078,1.875
1,2.98,-2.216,-0.347,0.012,1.887
1,2.992,-2.216,-0.335,-0.028,1.859
1,2.964,-2.216,-0.363,0.008,1.867
0,2.972,0.756,-0.355,-0.009,1.858
0,2.981,0.756,-0.346,0.032,1.89
0,2.949,0.756,-0.378,0.009,1.899
0,2.94,0.756,-0.387,0.007,1.906
0,2.933,0.756,-0.394,0.02,1.926
0,2.913,0.756,-0.414,0.006,1.932
0,2.907,0.756,-0.42,-0.02,1.912
0,2.927,0.756,-0.4,0.047,1.959
1,2.88,-2.124,-0.447,0.017,1.976
0,2.897,0.773,-0.43,-0.01,1.966
0,2.907,0.773,-0.42,-0.003,1.963
0,2.91,0.773,-0.417,-0.015,1.948
0,2.925,0.773,-0.402,-0.012,1.936
0,2.937,0.773,-0.39,0.078,2.014
1,2.859,-2.086,-0.468,-0.02,1.994
1,2.839,-2.086,-0.488,-0.048,1.946
1,2.791,-2.086,-0.536,-0.018,1.928
1,2.773,-2.086,-0.554,0.017,1.945
0,2.79,0.704,-0.537,-0.01,1.935
0,2.8,0.704,-0.527,-0.023,1.912
0,2.823,0.704,-0.504,-0.038,1.874
0,2.861,0.704,-0.466,-0.058,1.816
0,2.919,0.704,-0.408,-0.077,1.739
0,2.996,0.704,-0.331,-0.009,1.73
0,3.005,0.704,-0.322,0.033,1.763
0,2.972,0.704,-0.355,-0.021,1.742
0,2.993,0.704,-0.334,0.002,1.744
0,2.991,0.704,-0.336,0.007,1.751
0,2.984,0.704,-0.343,0.029,1.78
1,2.955,-2.251,-0.372,-0.019,1.761
1,2.936,-2.251,-0.391,0.031,1.792
0,2.967,0.716,-0.36,0.045,1.837
1,2.922,-2.206,-0.405,-0.092,1.745
1,2.83,-2.206,-0.497,-0.037,1.708
1,2.793,-2.206,-0.534,0.067,1.775
0,2.86,0.654,-0.467,0.022,1.797
0,2.838,0.654,-0.489,0.045,1.842
1,2.793,-2.139,-0.534,0.019,1.861
0,2.812,0.673,-0.515,-0.004,1.857
0,2.816,0.673,-0.511,0.004,1.861
0,2.812,0.673,-0.515,-0.024,1.837
0,2.836,0.673,-0.491,0.018,1.855
0,2.818,0.673,-0.509,-0.022,1.833
0,2.84,0.673,-0.487,-0.011,1.822
0,2.851,0.673,-0.476,0.024,1.846
0,2.827,0.673,-0.5,-0.11,1.736
0,2.937,0.673,-0.39,0.024,1.76
0,2.913,0.673,-0.414,-0.1,1.66
0,3.013,0.673,-0.314,0,1.66
0,3.013,0.673,-0.314,0.042,1.702
1,2.971,-2.298,-0.356,-0.056,1.646
1,2.915,-2.298,-0.412,-0.05,1.596
1,2.865,-2.298,-0.462,-0.01,1.586
1,2.855,-2.298,-0.472,-0.03,1.556
1,2.825,-2.298,-0.502,0.023,1.579
0,2.848,0.55,-0.479,0.002,1.581
0,2.846,0.55,-0.481,-0.022,1.559
0,2.868,0.55,-0.459,0.148,1.707
1,2.72,-2.17,-0.607,-0.033,1.674
1,2.687,-2.17,-0.64,-0.07,1.604
1,2.617,-2.17,-0.71,0,1.604
1,2.617,-2.17,-0.71,-0.012,1.592
0,2.605,0.435,-0.722,-0.006,1.586
0,2.611,0.435,-0.716,0.045,1.631
0,2.566,0.435,-0.761,-0.035,1.596
0,2.601,0.435,-0.726,-0.098,1.498
0,2.699,0.435,-0.628,0.024,1.522
0,2.675,0.435,-0.652,-0.01,1.512
0,2.685,0.435,-0.642,0.002,1.514
0,2.683,0.435,-0.644,0.004,1.518
0,2.679,0.435,-0.648,-0.031,1.487
0,2.71,0.435,-0.617,-0.009,1.478
0,2.719,0.435,-0.608,0.086,1.564
1,2.633,-2.198,-0.694,-0.014,1.55
1,2.619,-2.198,-0.708,-0.037,1.513
