KPN Close,KPN Trade Volume,10day MA,1 Week momentum,GTO Close,ATC Close,output
2.324,13977455,2.3855,-0.096,50.200001,3.065,1
2.327,17829729,2.3727,-0.097,50.139999,3.03,1
2.346,14163707,2.3653,-0.062,50.060001,3.082,1
2.369,9633035,2.3602,-0.002,50.060001,3.186,-1
2.363,14895570,2.3541,0.012,50.080002,3.195,1
2.365,12813711,2.3498,0.014,50,3.247,1
2.415,23814319,2.3542,0.084,50.060001,3.194,-1
2.389,16198276,2.358,0.065,50.080002,3.295,1
2.419,15963679,2.3648,0.092,50.02,3.318,1
2.432,14312258,2.3749,0.086,50.02,3.356,-1
2.397,13264804,2.3822,0.028,49.98,3.38,1
2.411,14723299,2.3906,0.048,49.98,3.38,-1
2.397,39070415,2.3957,0.032,50.080002,3.37,-1
2.382,10038238,2.397,-0.033,50.139999,3.346,1
2.385,12350508,2.3992,-0.004,50.060001,3.333,-1
2.385,13591320,2.4012,-0.034,50.099998,3.476,-1
2.376,10685911,2.3973,-0.056,50.18,3.422,1
2.424,13636352,2.4008,0.027,50.040001,3.526,-1
2.397,8147657,2.3986,-0.014,50.139999,3.5,-1
2.347,14362821,2.3901,-0.05,50.040001,3.453,1
2.374,13646498,2.3878,-0.008,50.060001,3.39,-1
2.335,12869461,2.3802,-0.05,50.080002,3.372,-1
2.33,16697379,2.3735,-0.055,49.82,3.49,-1
2.304,15573792,2.3657,-0.072,49.84,3.377,1
2.367,15278424,2.3639,-0.057,49.950001,3.35,1
2.403,14542461,2.3657,0.006,50.040001,3.174,1
2.414,17755875,2.3695,0.067,49.880001,3.166,1
2.459,18964987,2.373,0.085,49.98,3.284,1
2.472,13080585,2.3805,0.137,50.060001,3.32,1
2.475,10752768,2.3933,0.145,50.119999,3.236,-1
2.46,19309519,2.4019,0.156,50.220001,3.195,1
2.483,12493725,2.4167,0.116,50.139999,3.209,-1
2.464,8674056,2.4301,0.061,50.220001,3.167,-1
2.46,7604835,2.4457,0.046,50.299999,3.144,-1
2.411,14989044,2.4501,-0.048,50.040001,3.093,1
2.412,11641370,2.451,-0.06,49.919998,3.079,1
2.435,12296085,2.4531,-0.04,49.700001,2.973,1
2.486,20972592,2.4558,0.026,49.880001,2.998,-1
2.48,9598754,2.4566,-0.003,49.740002,3,-1
2.456,14160914,2.4547,-0.008,49.73,2.986,-1
2.456,9500605,2.4543,-0.004,49.799999,2.838,1
2.534,29102840,2.4594,0.123,49.799999,2.798,1
2.555,17264503,2.4685,0.143,49.830002,2.878,-1
2.504,12830646,2.4729,0.069,49.849998,2.764,-1
2.475,17077574,2.4793,-0.011,49.880001,2.852,-1
2.456,15216327,2.4837,-0.024,49.950001,2.878,-1
2.429,18776037,2.4831,-0.027,50,2.409,1
2.438,16275482,2.4783,-0.018,49.900002,2.367,1
2.455,10054785,2.4758,-0.079,49.849998,2.39,1
2.469,9688306,2.4771,-0.086,49.810001,2.431,-1
2.44,13655037,2.4755,-0.064,49.860001,2.413,-1
2.421,14612505,2.4642,-0.054,49.740002,2.462,-1
2.364,13669662,2.4451,-0.092,49.939999,2.454,-1
2.357,7260910,2.4304,-0.072,49.759998,2.472,-1
2.349,9312305,2.4178,-0.089,49.860001,2.401,-1
2.322,13704418,2.4044,-0.133,49.98,2.336,1
2.329,16921035,2.3944,-0.14,49.790001,2.396,-1
2.292,12913616,2.3798,-0.148,49.799999,2.36,-1
2.264,17421338,2.3607,-0.157,49.77,2.445,1
2.278,11882115,2.3416,-0.086,49.799999,2.476,-1
2.264,16938024,2.324,-0.093,49.700001,2.655,-1
2.25,14812131,2.3069,-0.099,49.599998,2.676,-1
2.234,11754284,2.2939,-0.088,49.580002,2.74,1
2.24,6045819,2.2822,-0.089,49.509998,2.822,-1
2.226,16391252,2.2699,-0.066,49.549999,2.782,1
2.231,11109615,2.2608,-0.033,49.580002,2.774,-1
2.2,30231650,2.2479,-0.078,49.52,2.64,1
2.201,18718132,2.2388,-0.063,50.02,2.592,-1
2.198,8757160,2.2322,-0.052,49.66,2.481,-1
2.185,18069762,2.2229,-0.049,49.77,2.468,1
2.188,18978590,2.2153,-0.052,49.91,2.394,1
2.19,14913907,2.2093,-0.036,50.299999,2.229,1
2.209,18681055,2.2068,-0.022,50.360001,2.215,1
2.243,13808749,2.2071,0.043,50.34,2.085,-1
2.226,14620617,2.2071,0.025,50.259998,2.151,1
2.237,14130471,2.2077,0.039,50.220001,2.076,1
2.249,14322598,2.2126,0.064,50.220001,2.135,1
